PageName,WikidataID,ImageURL
Bridge of Sighs,Q52517,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Antonio_Contin_-_Ponte_dei_sospiri_%28Venice%29.jpg/450px-Antonio_Contin_-_Ponte_dei_sospiri_%28Venice%29.jpg
Murud-Janjira,Q301996,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Murud_Janjira_Panoramic_View.jpg/450px-Murud_Janjira_Panoramic_View.jpg
SIS Building,Q198536,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/SIS_building_%2826327425611%29.jpg/450px-SIS_building_%2826327425611%29.jpg
Mandalay Bay,Q1368043,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Mandalay_Bay_May_22_2023.jpg/450px-Mandalay_Bay_May_22_2023.jpg
Yad Vashem,Q156591,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Yad_Vashem_View.jpg/450px-Yad_Vashem_View.jpg
Kew Palace,Q1050082,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/The_Dutch_House_at_Kew_Palace.jpg/450px-The_Dutch_House_at_Kew_Palace.jpg
Pontiac Silverdome,Q211662,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Silverdome_2.jpg/450px-Silverdome_2.jpg
Woolworth Building,Q217652,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Woolworth_bldg_nov2005c.jpg/450px-Woolworth_bldg_nov2005c.jpg
Saqqara,Q192134,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Saqqara_pyramid_ver_2.jpg/450px-Saqqara_pyramid_ver_2.jpg
Mehrgarh,Q242148,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Mehrgarh_ruins.jpg/450px-Mehrgarh_ruins.jpg
30 Rockefeller Plaza,Q680614,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Rockefeller_Center_Feb_2022_40.jpg/450px-Rockefeller_Center_Feb_2022_40.jpg
Museo del Prado,Q160112,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Madrid-1758045.jpg/450px-Madrid-1758045.jpg
Atomium,Q180901,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Brussels_-_Atomium_2022.jpg/450px-Brussels_-_Atomium_2022.jpg
Alcázar of Seville,Q498261,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Sevilla-2-2_%2848040287512%29.jpg/450px-Sevilla-2-2_%2848040287512%29.jpg
The Little Mermaid (statue),Q214619,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Copenhagen_-_the_little_mermaid_statue_-_2013.jpg/450px-Copenhagen_-_the_little_mermaid_statue_-_2013.jpg
National Gallery,Q180788,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Galer%C3%ADa_Nacional%2C_Londres%2C_Inglaterra%2C_2014-08-07%2C_DD_035.JPG/450px-Galer%C3%ADa_Nacional%2C_Londres%2C_Inglaterra%2C_2014-08-07%2C_DD_035.JPG
