PageName,WikidataID,ImageURL
Zlatan Ibrahimović,Q46896,https://upload.wikimedia.org/wikipedia/commons/0/09/Zlatan_Ibrahimovi%C4%87_June_2018.jpg
Jamie Lee Curtis,Q106997,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Jamie_Lee_Curtis_%2841851191720%29_%28cropped%29.jpg/450px-Jamie_Lee_Curtis_%2841851191720%29_%28cropped%29.jpg
Aubrey Plaza,Q210547,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Aubrey_Plaza_by_Gage_Skidmore_2.jpg/450px-Aubrey_Plaza_by_Gage_Skidmore_2.jpg
Brad Pitt,Q35332,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Brad_Pitt_2019_by_Glenn_Francis.jpg/450px-Brad_Pitt_2019_by_Glenn_Francis.jpg
Henry Cavill,Q295498,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Henry_Cavill_%2848417913146%29_%28cropped%29.jpg/450px-Henry_Cavill_%2848417913146%29_%28cropped%29.jpg
Celine Dion,Q5105,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/C%C3%A9line_Dion_2012.jpg/450px-C%C3%A9line_Dion_2012.jpg
James Cameron,Q42574,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/James_Cameron_by_Gage_Skidmore.jpg/450px-James_Cameron_by_Gage_Skidmore.jpg
Yevgeny Prigozhin,Q20850503,https://upload.wikimedia.org/wikipedia/commons/a/ac/YevgenyPrigozhin.jpg
Freddie Mercury,Q15869,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Freddie_Mercury_performing_in_New_Haven%2C_CT%2C_November_1977.jpg/450px-Freddie_Mercury_performing_in_New_Haven%2C_CT%2C_November_1977.jpg
Timothée Chalamet,Q19877770,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Interview_with_Timoth%C3%A9e_Chalamet%2C_2019.png/450px-Interview_with_Timoth%C3%A9e_Chalamet%2C_2019.png
