PageName,WikidataID,ImageURL
Raquel Welch,Q229545,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Raquel_Welch%2C_1967_photo.jpg/450px-Raquel_Welch%2C_1967_photo.jpg
MS Dhoni,Q470774,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/MS_Dhoni_2016.jpg/450px-MS_Dhoni_2016.jpg
Ray Stevenson,Q372947,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ray_Stevenson_March_18%2C_2014_%28cropped%29.jpg/450px-Ray_Stevenson_March_18%2C_2014_%28cropped%29.jpg
Emma Watson,Q39476,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Emma_Watson_2013.jpg/450px-Emma_Watson_2013.jpg
Christina Ricci,Q184103,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Christina_Ricci_%2849596830836%29_%28cropped%29.jpg/450px-Christina_Ricci_%2849596830836%29_%28cropped%29.jpg
Jennifer Connelly,Q103343,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Jennifer_Connelly_2010_TIFF.jpg/450px-Jennifer_Connelly_2010_TIFF.jpg
Aaron Rodgers,Q302581,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Aaron_Rodgers_OCT2022_%28cropped%29.jpg/450px-Aaron_Rodgers_OCT2022_%28cropped%29.jpg
Jake Paul,Q25714026,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Jake_Paul_%2853116882732%29.jpg/450px-Jake_Paul_%2853116882732%29.jpg
Cher,Q12003,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Cher_in_2019_cropped.jpg/450px-Cher_in_2019_cropped.jpg
Katy Perry,Q42493,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Katy_Perry_for_Vogue_Magazine%2C_2023.png/450px-Katy_Perry_for_Vogue_Magazine%2C_2023.png
Chris Evans (actor),Q178348,https://upload.wikimedia.org/wikipedia/commons/3/33/Mark_Kassen%2C_Tony_C%C3%A1rdenas_and_Chris_Evans_%28cropped%29.jpg
Alexandra Daddario,Q231556,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Alexandra_Daddario_Eva_Rinaldi_Photography_%281%29_%2834571221352%29.jpg/450px-Alexandra_Daddario_Eva_Rinaldi_Photography_%281%29_%2834571221352%29.jpg
Ezra Miller,Q508049,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ezra_Miller_by_Gage_Skidmore_2.jpg/450px-Ezra_Miller_by_Gage_Skidmore_2.jpg
Bradley Cooper,Q205707,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Glasto17-44_%2835547413626%29_Cropped.jpg/450px-Glasto17-44_%2835547413626%29_Cropped.jpg
Liam Hemsworth,Q32045,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Liam_Hemsworth_June_2016.jpg/450px-Liam_Hemsworth_June_2016.jpg
Shubman Gill,Q28840013,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Shubman_Gill.jpg/450px-Shubman_Gill.jpg
Lewis Hamilton,Q9673,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Lewis_Hamilton_2017_Malaysia.jpg/450px-Lewis_Hamilton_2017_Malaysia.jpg
Nick Cannon,Q348533,https://upload.wikimedia.org/wikipedia/commons/a/a1/Nick_Cannon_2010.jpg
Jimmy Buffett,Q726071,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Jimmy_Buffett_on_USS_Harry_S_Truman_%28cropped%29.jpg/450px-Jimmy_Buffett_on_USS_Harry_S_Truman_%28cropped%29.jpg
Billie Eilish,Q29564107,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/BillieEilishO2160622_%2811_of_45%29_%2852152972296%29_%28cropped_2%29.jpg/450px-BillieEilishO2160622_%2811_of_45%29_%2852152972296%29_%28cropped_2%29.jpg
Jake Gyllenhaal,Q133313,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Jake_Gyllenhaal_2019_by_Glenn_Francis.jpg/450px-Jake_Gyllenhaal_2019_by_Glenn_Francis.jpg
The Weeknd,Q2121062,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/The_Weeknd_Portrait_by_Brian_Ziff.jpg/450px-The_Weeknd_Portrait_by_Brian_Ziff.jpg
Karim Benzema,Q1912,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Karim_Benzema_wearing_Real_Madrid_home_kit_2021-2022.jpg/450px-Karim_Benzema_wearing_Real_Madrid_home_kit_2021-2022.jpg
Stevie Nicks,Q234691,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Stevie_Nicks_2017.jpg/450px-Stevie_Nicks_2017.jpg
Lewis Capaldi,Q42315001,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Glasto2023_%28173_of_468%29_%2853008351732%29_%28cropped%29.jpg/450px-Glasto2023_%28173_of_468%29_%2853008351732%29_%28cropped%29.jpg
Vijay (actor),Q528496,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Vijay_at_the_Nadigar_Sangam_Protest.jpg/450px-Vijay_at_the_Nadigar_Sangam_Protest.jpg
Victor Wembanyama,Q72941595,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Victor_Wembanyama_Mets_92_%28cropped%29.jpg/450px-Victor_Wembanyama_Mets_92_%28cropped%29.jpg
Bray Wyatt,Q1139993,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Bray_Wyatt_2017.jpg/450px-Bray_Wyatt_2017.jpg
Bernard Arnault,Q32055,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bernard_Arnault_%283%29_-_2017_%28cropped%29.jpg/450px-Bernard_Arnault_%283%29_-_2017_%28cropped%29.jpg
Michael B. Jordan,Q3308007,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/2018-05-12-_Cannes-L%27acteur_Michael_B._Jordan-2721_%2842075892224%29.jpg/450px-2018-05-12-_Cannes-L%27acteur_Michael_B._Jordan-2721_%2842075892224%29.jpg
John Travolta,Q80938,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/John_Travolta_Cannes_2018_%28cropped%29.jpg/450px-John_Travolta_Cannes_2018_%28cropped%29.jpg
Aaron Taylor-Johnson,Q45923,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Aaron_Taylor-Johnson_SDCC_2014_%28cropped%29.jpg/450px-Aaron_Taylor-Johnson_SDCC_2014_%28cropped%29.jpg
Eva Mendes,Q170606,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Eva_Mendes_%2852509107291%29_%28cropped%29.png/450px-Eva_Mendes_%2852509107291%29_%28cropped%29.png
Paul Walker,Q213864,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/PaulWalkerEdit-1.jpg/450px-PaulWalkerEdit-1.jpg
Tommy Fury,Q64585041,https://upload.wikimedia.org/wikipedia/commons/0/08/Tommy_Fury_at_the_National_Television_Awards_%28cropped%29.jpg
Gal Gadot,Q185654,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Gal_Gadot_at_the_2018_Comic-Con_International_13_%28cropped%29.jpg/450px-Gal_Gadot_at_the_2018_Comic-Con_International_13_%28cropped%29.jpg
Elliot Page,Q173399,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Elliot_Page_8126099_%28cropped%29.jpg/450px-Elliot_Page_8126099_%28cropped%29.jpg
Natasha Lyonne,Q234207,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Natasha_Lyonne_2014_%28cropped%29.jpg/450px-Natasha_Lyonne_2014_%28cropped%29.jpg
Pep Guardiola,Q164038,https://upload.wikimedia.org/wikipedia/commons/b/be/Pep_2017_%28cropped%29.jpg
George Santos,Q115170395,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Rep._George_Santos_Official_Portrait.jpg/450px-Rep._George_Santos_Official_Portrait.jpg
Stanley Tucci,Q223117,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Stanley_Tucci_2017_Berlinale.jpg/450px-Stanley_Tucci_2017_Berlinale.jpg
Joseph Stalin,Q855,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Joseph_Stalin%2C_1950_%28cropped%29.jpg/450px-Joseph_Stalin%2C_1950_%28cropped%29.jpg
Olivia Rodrigo,Q63243883,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Olivia_Rodrigo_with_Dr_Fauci_1.png/450px-Olivia_Rodrigo_with_Dr_Fauci_1.png
Gwyneth Paltrow,Q34460,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/GwynethPaltrowByAndreaRaffin2011.jpg/450px-GwynethPaltrowByAndreaRaffin2011.jpg
Keri Russell,Q229426,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Keri_Russell_%2813948636905%29_%28cropped%29.jpg/450px-Keri_Russell_%2813948636905%29_%28cropped%29.jpg
